Date,Direction of Travel,Species
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,IN,
12/12/2010,OUT,
12/12/2010,,
12/12/2010,IN,CRYPAR
12/12/2010,OUT,SIGHIS
12/12/2010,IN,SIGHIS
12/12/2010,,
12/12/2010,,
12/12/2010,,
12/12/2010,,
12/13/2010,,
12/13/2010,,
12/13/2010,,
12/13/2010,,
12/13/2010,,
12/13/2010,,
12/14/2010,,
12/14/2010,,
12/14/2010,,
12/14/2010,,
12/15/2010,,
12/15/2010,,
12/15/2010,,
12/15/2010,IN,CRYPAR
12/15/2010,OUT,PERGOS
12/15/2010,OUT,PERGOS
12/15/2010,OUT,PERGOS
12/16/2010,IN,THASAU
12/16/2010,,
12/16/2010,OUT,BUFTER
12/17/2010,IN,ACRGRY
12/17/2010,OUT,AMBBIS
12/17/2010,OUT,NERFAS
12/17/2010,IN,NOTVIR
12/17/2010,,
12/17/2010,IN,AMBBIS
12/17/2010,IN,NOTVIR
12/17/2010,IN,AMBBIS
12/17/2010,OUT,AMBBIS
12/17/2010,OUT,AMBBIS
12/17/2010,IN,AMBBIS
12/17/2010,,
12/18/2010,,
12/18/2010,IN,ACRGRY
12/18/2010,OUT,NOTVIR
12/18/2010,IN,AMBBIS
12/18/2010,IN,AMBBIS
12/18/2010,IN,AMBBIS
12/18/2010,,
12/18/2010,IN,NOTVIR
12/18/2010,IN,AMBBIS
12/18/2010,IN,NOTVIR
12/18/2010,OUT,AMBBIS
12/18/2010,OUT,NOTVIR
12/18/2010,IN,NOTVIR
12/18/2010,,
12/18/2010,,
12/18/2010,IN,ACRGRY
12/19/2010,,
12/19/2010,,
12/19/2010,,
12/19/2010,,
12/19/2010,,
12/19/2010,IN,NOTVIR
12/19/2010,,
12/19/2010,,
12/20/2010,,
12/20/2010,IN,ACRGRY
12/29/2010,IN,
12/29/2010,OUT,
12/29/2010,IN,
12/29/2010,OUT,
12/29/2010,,
12/29/2010,,
12/29/2010,,
12/29/2010,,
12/30/2010,,
12/30/2010,,
12/30/2010,,
12/30/2010,,
12/31/2010,,
12/31/2010,,
12/31/2010,IN,ACRGRY
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,EURQUA
12/31/2010,OUT,EURQUA
12/31/2010,OUT,EURQUA
12/31/2010,IN,THASAU
12/31/2010,IN,ACRGRY
12/31/2010,OUT,AMBBIS
12/31/2010,IN,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,IN,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,IN,AMBBIS
12/31/2010,OUT,AMBBIS
12/31/2010,OUT,NOTVIR
12/31/2010,IN,PSEORN
1/1/2011,OUT,ACRGRY
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,BUFTER
1/1/2011,OUT,EURQUA
1/1/2011,OUT,EURQUA
1/1/2011,OUT,EURQUA
1/1/2011,OUT,NOTVIR
1/1/2011,IN,NOTVIR
1/1/2011,IN,NOTVIR
1/1/2011,IN,SIGHIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,EURQUA
1/1/2011,IN,NOTVIR
1/1/2011,IN,NOTVIR
1/1/2011,OUT,NOTVIR
1/1/2011,OUT,ACRGRY
1/1/2011,OUT,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,OUT,NOTVIR
1/1/2011,OUT,NOTVIR
1/1/2011,IN,NOTVIR
1/1/2011,OUT,NOTVIR
1/1/2011,IN,ACRGRY
1/1/2011,IN,ACRGRY
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,OUT,AMBBIS
1/1/2011,IN,AMBBIS
1/1/2011,IN,AMBBIS
